id_sonda;modello_sonda;vendor;fonte;note
0;LA332;Esaote;anagrafica 2026 08 31, 9 configurazioni;
1;TRT33;Esaote;anagrafica 2026 08 31, 34 configurazioni;
2;GE C1-6;GE;anagrafica 2026 08 31, 3 configurazioni;
3;GE ML6-15;GE;anagrafica 2026 08 31, 12 configurazioni;
4;BK 8823;BK;anagrafica 2026 08 31, 2 configurazioni;
5;BK 8848;BK;anagrafica 2026 08 31, 28 configurazioni;
6;Canon/Toshiba PLT-1005BT (14L5);Canon/Toshiba;anagrafica 2026 08 31, 2 configurazioni;
7;Canon/Toshiba PVT-375BT (6C-1);Canon/Toshiba;anagrafica 2026 08 31, 1 configurazioni;
8;Supersonic XC6-1;SuperSonic;anagrafica 2026 08 31, 1 configurazioni;
9;Terason 15L4;Terason;anagrafica 2026 08 31, 3 configurazioni;
10;Esaote CA541;Esaote;anagrafica 2026 08 31, 4 configurazioni;
11;Esaote LA332E;Esaote;anagrafica 2026 08 31, 1 configurazioni;
12;Esaote TLC3-13;Esaote;anagrafica 2026 08 31, 78 configurazioni;
13;GE C1-5-D;GE;anagrafica 2026 08 31, 1 configurazioni;
14;8848 - NUOVI TEMPLATE DEPTH;BK;anagrafica 2026 08 31, 10 configurazioni;
15;Siemens 9L4;Siemens;anagrafica 2026 08 31, 1 configurazioni;
16;Siemens 18L6;Siemens;anagrafica 2026 08 31, 1 configurazioni;
17;GE 9L;GE;anagrafica 2026 08 31, 7 configurazioni;
18;Esaote SL1543;Esaote;anagrafica 2026 08 31, 2 configurazioni;
19;Esaote L4-15;Esaote;anagrafica 2026 08 31, 17 configurazioni;
20;Philips C5-1;Philips;anagrafica 2026 08 31, 1 configurazioni;
21;Esaote AC2541;Esaote;anagrafica 2026 08 31, 5 configurazioni;
22;Hitachi C41L47RP;Hitachi;anagrafica 2026 08 31, 22 configurazioni;
23;BK E14CL4b;BK;anagrafica 2026 08 31, 51 configurazioni;
24;L14-5w;Mindray;anagrafica 2026 08 31, 1 configurazioni;
25;Canon/Toshiba 11CL4;Canon/Toshiba;anagrafica 2026 08 31, 12 configurazioni;
26;GE L4-12t;GE;anagrafica 2026 08 31, 2 configurazioni;
27;BK 8870;BK;anagrafica 2026 08 31, 1 configurazioni;
28;Philips L 12-4;Philips;anagrafica 2026 08 31, 1 configurazioni;
29;LA - CLA 1536N1011;;;nessuna configurazione di un ecografo riconoscibile: da assegnare
30;GE, C1-5;GE;anagrafica 2026 08 31, 2 configurazioni;
31;18L5;BK;anagrafica 2026 08 31, 3 configurazioni;
32;C251;Hitachi;anagrafica 2026 08 31, 1 configurazioni;
33;L441;Hitachi;anagrafica 2026 08 31, 7 configurazioni;
34;CL4416R;Hitachi;anagrafica 2026 08 31, 18 configurazioni;
35;SI2C41;Esaote;anagrafica 2026 08 31, 3 configurazioni;
36;L12-4s;Mindray;anagrafica 2026 08 31, 1 configurazioni;
37;6LB7S;Mindray;anagrafica 2026 08 31, 6 configurazioni;
38;L14-6NS;Mindray;anagrafica 2026 08 31, 2 configurazioni;
39;C5-2s;Mindray;anagrafica 2026 08 31, 2 configurazioni;
40;L3-12H;Alpinion;anagrafica 2026 08 31, 2 configurazioni;
41;GE 11L;GE;anagrafica 2026 08 31, 1 configurazioni;
42;Philips C6-2;Philips;anagrafica 2026 08 31, 1 configurazioni;
43;GE, 12L-RS;GE;anagrafica 2026 08 31, 9 configurazioni;
44;L6C;Sonostar;anagrafica 2026 08 31, 1 configurazioni;
45;BK 6C2;BK;anagrafica 2026 08 31, 1 configurazioni;
46;13L4w;BK;anagrafica 2026 08 31, 1 configurazioni;
47;L12-4;Philips;anagrafica 2026 08 31, 1 configurazioni;
48;LA523;Esaote;anagrafica 2026 08 31, 3 configurazioni;
49;Koelis Probe;;;nessuna configurazione di un ecografo riconoscibile: da assegnare
50;Koelis Probe modalità visualizzazione aghi;;;nessuna configurazione di un ecografo riconoscibile: da assegnare
51;L3-11;Esaote;anagrafica 2026 08 31, 2 configurazioni;
52;LA533;Esaote;anagrafica 2026 08 31, 1 configurazioni;
53;14L5;Siemens;anagrafica 2026 08 31, 1 configurazioni;
54;L6-12;GE;anagrafica 2026 08 31, 1 configurazioni;
55;EV29L;ExactVu;anagrafica 2026 08 31, 1 configurazioni;
56;L3-12-D;GE;anagrafica 2026 08 31, 1 configurazioni;
57;CL4416R1;Hitachi;anagrafica 2026 08 31, 10 configurazioni;
58;C253;Hitachi;anagrafica 2026 08 31, 2 configurazioni;
59;ELC10-4;Mindray;anagrafica 2026 08 31, 2 configurazioni;
60;Philips L12-3;Philips;anagrafica 2026 08 31, 2 configurazioni;
61;Philips eL18-4;Philips;anagrafica 2026 08 31, 1 configurazioni;
62;8BP4;Terason;anagrafica 2026 08 31, 10 configurazioni;
63;ELC13-42;Mindray;anagrafica 2026 08 31, 4 configurazioni;
64;LX3-15;Esaote;anagrafica 2026 08 31, 2 configurazioni;
65;X6-16L;Vinno;anagrafica 2026 08 31, 1 configurazioni;
66;ELC13-4s;Mindray;anagrafica 2026 08 31, 3 configurazioni;
67;SL3-19H;Alpinion;anagrafica 2026 08 31, 1 configurazioni;
68;C1-8;Esaote;anagrafica 2026 08 31, 1 configurazioni;
69;ELC10-4;Mindray;anagrafica 2026 08 31, 2 configurazioni;
70;ECBP-5;SIUI;anagrafica 2026 08 31, 2 configurazioni;
71;18L7;Canon/Toshiba;anagrafica 2026 08 31, 1 configurazioni;
72;ECL10-4;Dawei;anagrafica 2026 08 31, 2 configurazioni;
73;L3-15E;Esaote;anagrafica 2026 08 31, 1 configurazioni;
74;EUP-U533C/L;Hitachi;anagrafica 2026 08 31, 2 configurazioni;
